,X,Y,Z,azimuth,reflectivity,laser_id,,,,,vertical_angle
0,0.0149299,5.70281,-1.52807,15,11,0,,,,,-15
1,0.02036,7.29086,0.127263,16,89,1,,,,,1
2,0.0196704,6.62958,-1.53057,17,15,2,,,,,-13
3,0.0228959,7.28796,0.381948,18,61,3,,,,,3
4,0.0230118,7.32487,-1.42382,18,52,4,,,,,-11
5,0.02399,7.23433,0.632925,19,79,5,,,,,5
6,0.0254507,7.29107,-1.1548,20,68,6,,,,,-9
7,0.0264473,7.21576,0.88599,21,67,7,,,,,7
8,0.0278972,7.26538,-0.892084,22,50,8,,,,,-7
9,0.0278365,7.24958,1.14823,22,56,9,,,,,9
10,0.0295124,7.35186,-0.643209,23,31,10,,,,,-5
11,0.0301807,7.20508,1.40054,24,60,11,,,,,11
12,0.0318172,7.29192,-0.382157,25,91,12,,,,,-3
13,0.0326663,7.19857,1.66194,26,38,13,,,,,13
14,0.0344516,7.31081,-0.127612,27,63,14,,,,,-1
15,0.035148,7.1922,1.92717,28,28,15,,,,,15
16,0.034801,5.69692,-1.52651,35,11,0,,,,,-15
17,0.0456338,7.26275,0.126774,36,89,1,,,,,1
18,0.0428119,6.62948,-1.53057,37,15,2,,,,,-13
19,0.0468443,7.25389,0.380168,37,71,3,,,,,3
20,0.0483589,7.29137,-1.41733,38,68,4,,,,,-11
21,0.0491203,7.21627,0.631356,39,84,5,,,,,5
22,0.0507219,7.26526,-1.15073,40,63,6,,,,,-9
23,0.0515638,7.2057,0.884771,41,66,7,,,,,7
24,0.0529669,7.22554,-0.887209,42,55,8,,,,,-7
25,0.0541109,7.20992,1.14197,43,61,9,,,,,9
26,0.0549358,7.31983,-0.64042,43,40,10,,,,,-5
27,0.0551048,7.17548,1.39481,44,65,11,,,,,11
28,0.0571451,7.27579,-0.38132,45,84,12,,,,,-3
29,0.0574496,7.15554,1.65204,46,46,13,,,,,13
30,0.05961,7.26665,-0.126844,47,63,14,,,,,-1
31,0.0599943,7.16112,1.91888,48,28,15,,,,,15
32,0.0546126,5.68904,-1.52444,55,11,0,,,,,-15
33,0.0707703,7.24055,0.12639,56,92,1,,,,,1
34,0.0658753,6.62149,-1.52877,57,15,2,,,,,-13
35,0.0718866,7.22573,0.378703,57,69,3,,,,,3
36,0.0734326,7.25385,-1.41008,58,60,4,,,,,-11
37,0.0739607,7.18218,0.628393,59,81,5,,,,,5
38,0.0757511,7.23343,-1.14573,60,57,6,,,,,-9
39,0.0763568,7.17173,0.880628,61,61,7,,,,,7
40,0.0780596,7.2134,-0.885746,62,59,8,,,,,-7
41,0.0776348,7.17415,1.13634,62,61,9,,,,,9
42,0.0801359,7.28772,-0.637631,63,67,10,,,,,-5
43,0.08002,7.16347,1.39252,64,65,11,,,,,11
44,0.0823154,7.25558,-0.380273,65,78,12,,,,,-3
