Point ID,Points_m_XYZ_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
0,5.904,583848123,27,5.904,11,0,583848123,-15
1,7.27,583848125,28,7.27,82,1,583848125,1
2,6.824,583848127,29,6.824,15,2,583848127,-13
3,7.284,583848129,29,7.284,66,3,583848129,3
4,7.434,583848132,30,7.434,71,4,583848132,-11
5,7.242,583848134,31,7.242,87,5,583848134,5
6,7.356,583848136,32,7.356,55,6,583848136,-9
7,7.27,583848139,33,7.27,67,7,583848139,7
8,7.294,583848141,34,7.294,52,8,583848141,-7
9,7.302,583848143,34,7.302,60,9,583848143,9
10,7.342,583848146,35,7.342,40,10,583848146,-5
11,7.324,583848148,36,7.324,64,11,583848148,11
12,7.308,583848150,37,7.308,84,12,583848150,-3
13,7.366,583848153,38,7.366,41,13,583848153,13
14,7.28,583848155,39,7.28,61,14,583848155,-1
15,7.406,583848157,39,7.406,30,15,583848157,15
16,5.898,583848178,47,5.898,14,0,583848178,-15
17,7.232,583848180,48,7.232,87,1,583848180,1
18,6.808,583848182,49,6.808,15,2,583848182,-13
19,7.262,583848185,49,7.262,71,3,583848185,3
20,7.398,583848187,50,7.398,58,4,583848187,-11
21,7.216,583848189,51,7.216,84,5,583848189,5
22,7.316,583848192,52,7.316,60,6,583848192,-9
23,7.226,583848194,53,7.226,66,7,583848194,7
24,7.278,583848196,54,7.278,56,8,583848196,-7
25,7.288,583848199,55,7.288,61,9,583848199,9
26,7.322,583848201,55,7.322,60,10,583848201,-5
27,7.282,583848203,56,7.282,65,11,583848203,11
28,7.264,583848205,57,7.264,74,12,583848205,-3
29,7.342,583848208,58,7.342,41,13,583848208,13
30,7.254,583848210,59,7.254,66,14,583848210,-1
31,7.374,583848212,60,7.374,33,15,583848212,15
32,5.9,583848233,67,5.9,11,0,583848233,-15
33,7.21,583848235,68,7.21,84,1,583848235,1
34,6.802,583848238,69,6.802,17,2,583848238,-13
35,7.22,583848240,70,7.22,58,3,583848240,3
36,7.372,583848242,70,7.372,63,4,583848242,-11
37,7.192,583848245,71,7.192,84,5,583848245,5
38,7.292,583848247,72,7.292,62,6,583848247,-9
39,7.19,583848249,73,7.19,64,7,583848249,7
40,7.248,583848252,74,7.248,59,8,583848252,-7
41,7.254,583848254,74,7.254,57,9,583848254,9
42,7.296,583848256,75,7.296,65,10,583848256,-5
43,7.252,583848258,76,7.252,68,11,583848258,11
44,7.236,583848261,77,7.236,71,12,583848261,-3
