Point ID,Points_m_XYZ_0,Points_m_XYZ_1,Points_m_XYZ_2,Points_m_XYZ_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
0,0.0268283,5.6931,-1.52548,5.894,628248165,27,5.894,11,0,628248165,-15
1,0.0355517,7.27481,0.126984,7.276,628248167,28,7.276,82,1,628248167,1
2,0.0334962,6.61784,-1.52787,6.792,628248170,29,6.792,15,2,628248170,-13
3,0.0367765,7.26594,0.380796,7.276,628248172,29,7.276,64,3,628248172,3
4,0.0382296,7.30124,-1.41924,7.438,628248174,30,7.438,63,4,628248174,-11
5,0.0390553,7.21832,0.631531,7.246,628248176,31,7.246,86,5,628248176,5
6,0.0405445,7.2594,-1.14979,7.35,628248179,32,7.35,65,6,628248179,-9
7,0.0414455,7.19584,0.883553,7.25,628248181,33,7.25,66,7,628248181,7
8,0.042937,7.23553,-0.888427,7.29,628248183,34,7.29,52,8,628248183,-7
9,0.0428558,7.22185,1.14385,7.312,628248186,34,7.312,57,9,628248186,9
10,0.0447396,7.32389,-0.640769,7.352,628248188,35,7.352,36,10,628248188,-5
11,0.0451229,7.18144,1.39596,7.316,628248190,36,7.316,67,11,628248190,11
12,0.0470248,7.28185,-0.381634,7.292,628248193,37,7.292,87,12,628248193,-3
13,0.0475619,7.17121,1.65564,7.36,628248195,38,7.36,41,13,628248195,13
14,0.0496271,7.29072,-0.127263,7.292,628248197,39,7.292,61,14,628248197,-1
15,0.0487192,7.15734,1.91785,7.41,628248199,39,7.41,30,15,628248199,15
16,0.0467325,5.69684,-1.52651,5.898,628248220,47,5.898,14,0,628248220,-15
17,0.0606102,7.23464,0.126286,7.236,628248223,48,7.236,89,1,628248223,1
18,0.0565632,6.61378,-1.52697,6.788,628248225,49,6.788,15,2,628248225,-13
19,0.0618317,7.22981,0.378912,7.24,628248227,49,7.24,69,3,628248227,3
20,0.0633728,7.2618,-1.41161,7.398,628248229,50,7.398,60,4,628248229,-11
21,0.0640566,7.19623,0.629613,7.224,628248232,51,7.224,81,5,628248232,5
22,0.0656871,7.23748,-1.14635,7.328,628248234,52,7.328,57,6,628248234,-9
23,0.0663064,7.16786,0.88014,7.222,628248236,53,7.222,64,7,628248236,7
24,0.067969,7.21152,-0.885503,7.266,628248239,54,7.266,57,8,628248239,-7
25,0.0689836,7.18609,1.13822,7.276,628248241,55,7.276,60,9,628248241,9
26,0.0700941,7.30177,-0.638852,7.33,628248243,55,7.33,60,10,628248243,-5
27,0.0698452,7.1459,1.38909,7.28,628248246,56,7.28,65,11,628248246,11
28,0.0721847,7.25568,-0.380273,7.266,628248248,57,7.266,74,12,628248248,-3
29,0.0721993,7.13202,1.64664,7.32,628248250,58,7.32,42,13,628248250,13
30,0.0746026,7.24451,-0.12646,7.246,628248252,59,7.246,64,14,628248252,-1
31,0.0746282,7.12621,1.90957,7.378,628248255,60,7.378,33,15,628248255,15
32,0.0665727,5.69278,-1.52548,5.894,628248276,67,5.894,14,0,628248276,-15
33,0.0856974,7.22039,0.126041,7.222,628248278,68,7.222,85,1,628248278,1
34,0.0795319,6.6038,-1.52472,6.778,628248280,69,6.778,17,2,628248280,-13
35,0.0879639,7.19958,0.377342,7.21,628248282,70,7.21,58,3,628248282,3
36,0.088361,7.23209,-1.40588,7.368,628248285,70,7.368,68,4,628248285,-11
37,0.0886079,7.15014,0.625604,7.178,628248287,71,7.178,86,5,628248287,5
38,0.0906027,7.20956,-1.14197,7.3,628248289,72,7.3,62,6,628248289,-9
39,0.0910989,7.14972,0.877947,7.204,628248292,73,7.204,66,7,628248292,7
40,0.0929876,7.19933,-0.88404,7.254,628248294,74,7.254,63,8,628248294,-7
41,0.0936019,7.15025,1.13259,7.24,628248296,75,7.24,63,9,628248296,9
42,0.095034,7.25964,-0.635191,7.288,628248299,75,7.288,60,10,628248299,-5
43,0.0945022,7.12402,1.38489,7.258,628248301,76,7.258,68,11,628248301,11
44,0.0971355,7.22743,-0.378808,7.238,628248303,77,7.238,68,12,628248303,-3
45,0.0967759,7.10835,1.64124,7.296,628248305,78,7.296,50,13,628248305,13
46,0.0995593,7.22021,-0.126041,7.222,628248308,79,7.222,64,14,628248308,-1
47,0.0978596,7.09695,1.9018,7.348,628248310,79,7.348,33,15,628248310,15
48,0.0863265,5.68478,-1.52341,5.886,628248331,87,5.886,14,0,628248331,-15
49,0.110256,7.17806,0.125308,7.18,628248333,88,7.18,89,1,628248333,1
50,0.102734,6.61323,-1.52697,6.788,628248335,89,6.788,17,2,628248335,-13
51,0.112624,7.16928,0.375772,7.18,628248338,90,7.18,60,3,628248338,3
52,0.113204,7.20622,-1.40092,7.342,628248340,90,7.342,46,4,628248340,-11
53,0.113091,7.1199,0.622989,7.148,628248342,91,7.148,89,5,628248342,5
54,0.115229,7.17562,-1.13665,7.266,628248345,92,7.266,65,6,628248345,-9
55,0.11554,7.1176,0.874047,7.172,628248347,93,7.172,60,7,628248347,7
56,0.117564,7.16522,-0.879897,7.22,628248349,94,7.22,59,8,628248349,-7
57,0.118069,7.12025,1.12789,7.21,628248352,95,7.21,64,9,628248352,9
58,0.119846,7.2274,-0.632402,7.256,628248354,95,7.256,63,10,628248354,-5
59,0.118876,7.09421,1.37917,7.228,628248356,96,7.228,67,11,628248356,11
60,0.121924,7.20108,-0.377447,7.212,628248358,97,7.212,84,12,628248358,-3
61,0.121188,7.08458,1.63584,7.272,628248361,98,7.272,47,13,628248361,13
62,0.124244,7.18983,-0.125518,7.192,628248363,99,7.192,60,14,628248363,-1
63,0.122098,7.06566,1.89352,7.316,628248365,99,7.316,42,15,628248365,15
64,0.106133,5.68252,-1.52289,5.884,628248386,107,5.884,14,0,628248386,-15
65,0.134821,7.15164,0.124855,7.154,628248388,108,7.154,92,1,628248388,1
66,0.125781,6.61088,-1.52652,6.786,628248391,109,6.786,17,2,628248391,-13
67,0.135714,7.13292,0.373888,7.144,628248393,109,7.144,54,3,628248393,3
68,0.137453,7.15867,-1.39176,7.294,628248395,110,7.294,59,4,628248395,-11
69,0.137133,7.07763,0.619329,7.106,628248398,111,7.106,84,5,628248398,5
70,0.139774,7.1495,-1.13259,7.24,628248400,112,7.24,67,6,628248400,-9
71,0.139719,7.08342,0.869903,7.138,628248402,113,7.138,63,7,628248402,7
72,0.141942,7.13301,-0.875997,7.188,628248404,114,7.188,58,8,628248404,-7
73,0.141091,7.0902,1.1232,7.18,628248407,114,7.18,57,9,628248407,9
74,0.144713,7.209,-0.630833,7.238,628248409,115,7.238,65,10,628248409,-5
75,0.142883,7.05645,1.37192,7.19,628248411,116,7.19,64,11,628248411,11
76,0.146407,7.16866,-0.375772,7.18,628248414,117,7.18,91,12,628248414,-3
77,0.145315,7.05489,1.6291,7.242,628248416,118,7.242,46,13,628248416,13
78,0.148759,7.16136,-0.125029,7.164,628248418,119,7.164,60,14,628248418,-1
79,0.146199,7.03815,1.88627,7.288,628248421,119,7.288,39,15,628248421,15
80,0.126568,5.70915,-1.53014,5.912,628248441,127,5.912,14,0,628248441,-15
81,0.159293,7.12913,0.124471,7.132,628248444,128,7.132,96,1,628248444,1
82,0.14855,6.59676,-1.52337,6.772,628248446,129,6.772,17,2,628248446,-13
83,0.161267,7.10642,0.372527,7.118,628248448,130,7.118,56,3,628248448,3
84,0.162085,7.14244,-1.38871,7.278,628248451,130,7.278,63,4,628248451,-11
85,0.161428,7.05918,0.61776,7.088,628248453,131,7.088,91,5,628248453,5
86,0.163956,7.11539,-1.12727,7.206,628248455,132,7.206,65,6,628248455,-9
87,0.163522,7.04319,0.865029,7.098,628248457,133,7.098,64,7,628248457,7
88,0.166237,7.10667,-0.872828,7.162,628248460,134,7.162,45,8,628248460,-7
89,0.166378,7.06001,1.11851,7.15,628248462,135,7.15,67,9,628248462,9
90,0.169173,7.17858,-0.628219,7.208,628248464,135,7.208,58,10,628248464,-5
91,0.166908,7.0304,1.36696,7.164,628248467,136,7.164,59,11,628248467,11
92,0.170474,7.12818,-0.373679,7.14,628248469,137,7.14,87,12,628248469,-3
93,0.168955,7.01343,1.61965,7.2,628248471,138,7.2,47,13,628248471,13
94,0.173174,7.13681,-0.12461,7.14,628248474,139,7.14,61,14,628248474,-1
95,0.171522,7.01825,1.8811,7.268,628248476,140,7.268,42,15,628248476,15
96,0.146298,5.70095,-1.52807,5.904,628248497,147,5.904,14,0,628248497,-15
97,0.183712,7.11054,0.124156,7.114,628248499,148,7.114,92,1,628248499,1
98,0.171576,6.5962,-1.52337,6.772,628248501,149,6.772,15,2,628248501,-13
99,0.184105,7.07789,0.371062,7.09,628248504,149,7.09,63,3,628248504,3
100,0.186193,7.11043,-1.3826,7.246,628248506,150,7.246,63,4,628248506,-11
101,0.185596,7.04065,0.616191,7.07,628248508,151,7.07,84,5,628248508,5
102,0.188216,7.09306,-1.12383,7.184,628248510,152,7.184,55,6,628248510,-9
103,0.187418,7.01678,0.86186,7.072,628248513,153,7.072,60,7,628248513,7
104,0.189602,7.05247,-0.866247,7.108,628248515,154,7.108,51,8,628248515,-7
105,0.19006,7.02384,1.11287,7.114,628248517,155,7.114,61,9,628248517,9
106,0.193367,7.14608,-0.62543,7.176,628248520,155,7.176,54,10,628248520,-5
107,0.191074,7.01603,1.36428,7.15,628248522,156,7.15,57,11,628248522,11
108,0.194699,7.10358,-0.372423,7.116,628248524,157,7.116,71,12,628248524,-3
109,0.192522,6.97968,1.612,7.166,628248527,158,7.166,40,13,628248527,13
110,0.196864,7.09219,-0.123842,7.096,628248529,159,7.096,60,14,628248529,-1
111,0.193937,6.98675,1.87281,7.236,628248531,159,7.236,40,15,628248531,15
112,0.165577,5.67916,-1.52237,5.882,628248552,167,5.882,14,0,628248552,-15
113,0.207476,7.07388,0.123528,7.078,628248554,168,7.078,84,1,628248554,1
114,0.194887,6.6053,-1.52562,6.782,628248556,169,6.782,17,2,628248556,-13
115,0.208103,7.05325,0.369806,7.066,628248559,169,7.066,56,3,628248559,3
116,0.209847,7.07049,-1.37497,7.206,628248561,170,7.206,63,4,628248561,-11
117,0.209517,7.01805,0.614274,7.048,628248563,171,7.048,73,5,628248563,5
118,0.212025,7.06076,-1.11882,7.152,628248566,172,7.152,60,6,628248566,-9
119,0.21113,6.99029,0.858691,7.046,628248568,173,7.046,61,7,628248568,7
120,0.213616,7.03192,-0.86381,7.088,628248570,174,7.088,50,8,628248570,-7
121,0.213732,6.9955,1.10849,7.086,628248573,175,7.086,64,9,628248573,9
122,0.216972,7.10155,-0.621595,7.132,628248575,175,7.132,29,10,628248575,-5
123,0.21484,6.99178,1.3597,7.126,628248577,176,7.126,57,11,628248577,11
124,0.218568,7.07291,-0.370853,7.086,628248580,177,7.086,62,12,628248580,-3
125,0.216219,6.95754,1.60705,7.144,628248582,178,7.144,41,13,628248582,13
126,0.220745,7.06348,-0.123354,7.068,628248584,179,7.068,58,14,628248584,-1
127,0.217238,6.95127,1.8635,7.2,628248586,179,7.2,40,15,628248586,15
128,0.184284,5.67472,-1.52134,5.878,628248607,186,5.878,14,0,628248607,-15
129,0.229563,7.03118,0.122795,7.036,628248609,187,7.036,82,1,628248609,1
130,0.216662,6.60073,-1.52472,6.778,628248612,188,6.778,17,2,628248612,-13
131,0.231734,7.02253,0.368236,7.036,628248614,189,7.036,60,3,628248614,3
132,0.232451,7.04425,-1.37001,7.18,628248616,189,7.18,68,4,628248616,-11
133,0.231401,6.9755,0.610613,7.006,628248619,190,7.006,74,5,628248619,5
134,0.234254,7.02449,-1.11319,7.116,628248621,191,7.116,57,6,628248621,-9
135,0.233645,6.96971,0.856254,7.026,628248623,192,7.026,64,7,628248623,7
136,0.236132,7.00737,-0.860885,7.064,628248626,193,7.064,50,8,628248626,-7
137,0.235109,6.97702,1.10568,7.068,628248628,193,7.068,68,9,628248628,9
138,0.239509,7.07092,-0.61898,7.102,628248630,194,7.102,40,10,628248630,-5
139,0.236888,6.95767,1.35322,7.092,628248633,195,7.092,60,11,628248633,11
140,0.24127,7.05019,-0.369701,7.064,628248635,196,7.064,68,12,628248635,-3
141,0.238753,6.94121,1.60345,7.128,628248637,197,7.128,47,13,628248637,13
142,0.243199,7.03473,-0.122865,7.04,628248639,198,7.04,60,14,628248639,-1
143,0.24016,6.91186,1.85314,7.16,628248642,199,7.16,43,15,628248642,15
144,0.203813,5.66632,-1.51927,5.87,628248662,206,5.87,14,0,628248662,-15
145,0.253094,7.00236,0.122306,7.008,628248665,207,7.008,84,1,628248665,1
146,0.239206,6.5863,-1.52157,6.764,628248667,208,6.764,17,2,628248667,-13
147,0.254296,7.00177,0.367189,7.016,628248669,208,7.016,60,3,628248669,3
148,0.256036,7.01593,-1.36467,7.152,628248672,209,7.152,61,4,628248672,-11
149,0.255019,6.95474,0.60887,6.986,628248674,210,6.986,92,5,628248674,5
150,0.257754,6.99599,-1.10881,7.088,628248676,211,7.088,52,6,628248676,-9
151,0.256797,6.93712,0.852354,6.994,628248679,212,6.994,63,7,628248679,7
152,0.259631,6.98071,-0.857716,7.038,628248681,213,7.038,49,8,628248681,-7
153,0.259573,6.9465,1.10099,7.038,628248683,214,7.038,66,9,628248683,9
154,0.262627,7.02823,-0.61532,7.06,628248686,214,7.06,49,10,628248686,-5
