reflectivity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,X,Y,Z
100,0,11,1452,268266864,268266864,-15,0.002692651702091098,1.402521729469299,-0.3758052587509155
100,1,12,1434,268266866,268266866,1,0.003002902958542109,1.433778405189514,0.02502675168216228
100,2,13,1.45,268266868,268266868,-13,0.003205621847882867,1.412832975387573,-0.326179027557373
100,3,14,1434,268266871,268266871,3,0.003499117447063327,1.432030439376831,0.0750497579574585
100,4,14,1428,268266873,268266873,-11,0.003425151342526078,1.401759386062622,-0.2724752426147461
100,5,15,1434,268266875,268266875,5,0.003739912994205952,1.42853832244873,0.1249813362956047
100,6,16,1.43,268266878,268266878,-9,0.003944144118577242,1.412388801574707,-0.2237012833356857
100,7,17,1.45,268266880,268266880,7,0.004270161967724562,1.439185619354248,0.1767105460166931
100,8,18,1.43,268266882,268266882,-7,0.004458983894437551,1.419333934783936,-0.1742731630802155
98,9,18,1456,268266884,268266884,9,0.004517836030572653,1.438067078590393,0.2277685850858688
100,10,19,1422,268266887,268266887,-5,0.004697578027844429,1.416581034660339,-0.1239354684948921
100,11,20,1.48,268266889,268266889,11,0.00507124699652195,1.452799439430237,0.2823973000049591
100,12,21,1426,268266891,268266891,-3,0.005219388287514448,1.424036145210266,-0.07463107258081436
89,13,22,1476,268266894,268266894,13,0.005522163584828377,1.438159584999084,0.3320277631282806
100,14,23,1418,268266896,268266896,-1,0.00569133460521698,1.417772650718689,-0.02474751323461533
99,15,23,1.5,268266898,268266898,15,0.00581619655713439,1.448877096176147,0.388228565454483
100,0,31,1442,268266919,268266919,-15,0.007536088116466999,1.392844676971436,-0.3732170760631561
100,1,32,1426,268266921,268266921,1,0.007963032461702824,1.425760626792908,0.02488713152706623
100,2,33,1442,268266924,268266924,-13,0.00809241458773613,1.405018329620361,-0.3243794143199921
100,3,34,1438,268266926,268266926,3,0.008521519601345062,1.436004042625427,0.07525910437107086
100,4,34,1428,268266928,268266928,-11,0.008318183943629265,1.401738882064819,-0.2724752426147461
100,5,35,1426,268266931,268266931,5,0.008677736856043339,1.420547127723694,0.1242840886116028
100,6,36,1424,268266933,268266933,-9,0.00883704237639904,1.406440377235413,-0.2227626740932465
100,7,37,1448,268266935,268266935,7,0.00928101222962141,1.437176823616028,0.1764668077230453
100,8,38,1.43,268266937,268266937,-7,0.009413356892764568,1.419309735298157,-0.1742731630802155
98,9,39,1.46,268266940,268266940,9,0.009815476834774017,1.441991567611694,0.2283943146467209
100,10,39,1416,268266942,268266942,-5,0.009601655416190624,1.410578966140747,-0.1234125345945358
100,11,40,1464,268266944,268266944,11,0.0100327841937542,1.437067151069641,0.279344379901886
100,12,41,1.43,268266947,268266947,-3,0.01021875441074371,1.428003668785095,-0.07484041899442673
89,13,42,1484,268266949,268266949,13,0.01059938315302134,1.445926308631897,0.3338273763656616
100,14,43,1422,268266951,268266951,-1,0.01067026425153017,1.421743392944336,-0.0248173214495182
100,15,44,1496,268266954,268266954,15,0.01109688635915518,1.444982409477234,0.3871932923793793
100,0,50,1448,268266974,268266974,-15,0.0122054610401392,1.39860737323761,-0.3747699856758118
100,1,51,1418,268266977,268266977,1,0.01261978317052126,1.417727828025818,0.02474751323461533
100,2,52,1434,268266979,268266979,-13,0.01268083415925503,1.397189140319824,-0.3225798010826111
100,3,53,1.44,268266981,268266981,3,0.01330190803855658,1.437965035438538,0.07536377757787704
100,4,53,1428,268266984,268266984,-11,0.01296647172421217,1.401703596115112,-0.2724752426147461
100,5,54,1.43,268266986,268266986,5,0.01342594809830189,1.424495100975037,0.1246327087283134
100,6,55,1416,268266988,268266988,-9,0.01342506986111403,1.398502230644226,-0.2215112000703812
100,7,56,1434,268266990,268266990,7,0.01391099952161312,1.423243165016174,0.174760639667511
100,8,57,1428,268266993,268266993,-7,0.01410015765577555,1.417285799980164,-0.1740294247865677
100,9,57,1462,268266995,268266995,9,0.01436522230505943,1.443928956985474,0.2287071943283081
100,10,58,1.42,268266997,268266997,-5,0.01431958749890327,1.414523959159851,-0.1237611547112465
100,11,59,1458,268267000,268267000,11,0.01473756786435843,1.431136608123779,0.2781995236873627
100,12,60,1412,268267002,268267002,-3,0.01476589497178793,1.409987568855286,-0.07389836758375168
91,13,61,1472,268267004,268267004,13,0.01526970788836479,1.434191465377808,0.331127941608429
100,14,62,1422,268267007,268267007,-1,0.01538487710058689,1.421700239181519,-0.0248173214495182
98,15,62,1496,268267009,268267009,15,0.01563637144863605,1.444940447807312,0.3871932923793793
100,0,70,1446,268267030,268267030,-15,0.01706383563578129,1.396624565124512,-0.3742523491382599
100,1,71,1418,268267032,268267032,1,0.01756850071251392,1.417675137519836,0.02474751323461533
100,2,72,1426,268267034,268267034,-13,0.01745990477502346,1.389341950416565,-0.3207802176475525
100,3,73,1426,268267037,268267037,3,0.01814313791692257,1.423930168151855,0.07463107258081436
100,4,73,1432,268267039,268267039,-11,0.01790927723050117,1.40557599067688,-0.273238480091095
100,5,74,1434,268267041,268267041,5,0.01844974607229233,1.428424000740051,0.1249813362956047
100,6,75,1418,268267043,268267043,-9,0.01833252981305122,1.400422096252441,-0.2218240648508072
100,7,76,1426,268267046,268267046,7,0.01877363957464695,1.415246248245239,0.1737856864929199
100,8,77,1.41,268267048,268267048,-7,0.01880723051726818,1.39936363697052,-0.1718357801437378
99,9,77,1454,268267050,268267050,9,0.01929920166730881,1.435969114303589,0.2274557054042816
100,10,78,1416,268267053,268267053,-5,0.01920286566019058,1.410480976104736,-0.1234125345945358
100,11,79,1452,268267055,268267055,11,0.0196518711745739,1.425187230110168,0.2770546674728394
100,12,80,1412,268267057,268267057,-3,0.0196875799447298,1.409927487373352,-0.07389836758375168
97,13,81,1464,268267060,268267060,13,0.02016568183898926,1.426335215568542,0.3293283581733704
100,14,82,1418,268267062,268267062,-1,0.02029020711779594,1.417638778686523,-0.02474751323461533
99,15,82,1504,268267064,268267064,15,0.02079064771533012,1.452603697776794,0.3892638385295868
100,0,90,1442,268267085,268267085,-15,0.02187817357480526,1.392693161964417,-0.3732170760631561
100,1,91,1422,268267087,268267087,1,0.02258052118122578,1.421604156494141,0.0248173214495182
100,2,92,1426,268267090,268267090,-13,0.02230950817465782,1.389272570610046,-0.3207802176475525
100,3,93,1.42,268267092,268267092,3,0.02301621995866299,1.417867183685303,0.07431706041097641
100,4,93,1412,268267094,268267094,-11,0.02249689213931561,1.38587498664856,-0.2694222927093506
100,5,94,1426,268267096,268267096,5,0.0233050212264061,1.420382499694824,0.1242840886116028
100,6,95,1.42,268267099,268267099,-9,0.0232535544782877,1.402324676513672,-0.2221369445323944
100,7,96,1432,268267101,268267101,7,0.02381343208253384,1.4211266040802,0.1745169013738632
