,X,Y,Z,azimuth,dis,laser_id,reflectivity
0,-16.799402975983725,9.887707437732534,-4.500370793203364,30048,10003,2,96
1,-16.995586795953297,10.003176315921186,-3.833352717114785,30048,10045,4,96
2,-17.92789029854477,10.551906785091802,-3.294822702677343,30048,10531,6,96
3,-17.89460187880407,10.532314055759038,-2.5495066640356856,30048,10460,8,96
4,-17.90715281208362,10.53970122044079,-1.817894482230654,30048,10429,10,96
5,-17.92165909629611,10.548239255661846,-1.0898439528030623,30048,10412,12,96
6,-8.899544042319398,5.240140076057749,-2.767293230236152,30049,5346,0,96
7,-16.723789377149743,9.84713357471197,-4.480575100421103,30049,9959,2,96
8,-16.94985460499999,9.980243030053513,-3.823430649355205,30049,10019,4,96
9,-17.994137054681865,10.595126926271142,-3.307337459880561,30049,10571,6,96
10,-17.974871653835955,10.583783266576452,-2.5612061210025794,30049,10508,8,96
11,-18.001458141402185,10.599437654971512,-1.8276559254183917,30049,10485,10,96
12,-18.026524368423875,10.614196898832471,-1.0963336113771873,30049,10474,12,96
13,-8.980666775058463,5.368433627104291,-2.803527896550505,30087,5416,0,135
14,-16.534335854732564,9.88384123669978,-4.447282344378211,30087,9885,2,135
15,-16.85127340920254,10.073299131945841,-3.816179907530896,30087,10000,4,135
16,-18.018422087177733,10.77099345327106,-3.324858119965067,30087,10627,6,135
17,-17.986068368628633,10.751653153160689,-2.5729055779694736,30087,10556,8,135
18,-18.01456122366181,10.768685518899629,-1.8361971882076624,30087,10534,10,135
19,-18.02773362046947,10.776559671202905,-1.1007298317015946,30087,10516,12,135
20,-9.059313684654475,5.4175932950010255,-2.828374524880347,30088,5464,0,135
21,-16.534283041930017,9.887727046844795,-4.4477322464869,30088,9886,2,135
22,-16.714718909946487,9.995630159902857,-3.785650468270649,30088,9920,4,135
23,-18.10809111178293,10.828885764121164,-3.341753042189412,30088,10681,6,135
24,-18.065968878820726,10.803696093599756,-2.584605034936368,30088,10604,8,135
25,-18.115278847333254,10.83318412813406,-1.8466558773373811,30088,10594,10,135
26,-18.10813100168306,10.828909618826167,-1.1057540835009172,30088,10564,12,135
27,-9.108090787822215,5.531276116492965,-2.855291705571009,30127,5516,0,175
28,-16.5198976428052,10.032411556627148,-4.462129113964907,30127,9918,2,175
29,-16.609376940248,10.086751671629916,-3.7772548724740806,30127,9898,4,175
30,-18.12175988870381,11.005210641425169,-3.358022226553596,30127,10733,6,175
31,-18.08872550838629,10.985149106781954,-2.5984981400845544,30127,10661,8,175
32,-18.121159564790158,11.004846069156063,-1.854848517155661,30127,10641,10,175
33,-18.133014912142382,11.012045733848664,-1.1118250544250987,30127,10622,12,175
34,-9.153354321532225,5.560951306626653,-2.8697855720967502,30128,5544,0,175
35,-16.60974733794334,10.090945124280186,-4.486873729942731,30128,9973,2,175
36,-16.609294092963108,10.090669763666305,-3.7776364904648343,30128,9899,4,175
37,-18.20762712207571,11.061707465742327,-3.3742914109177797,30128,10785,6,175
38,-18.173331478871166,11.040871781337401,-2.6109288131118795,30128,10712,8,175
39,-18.19245794544812,11.052491712738075,-1.86234391103196,30128,10684,10,175
40,-18.221560371621884,11.070172354082448,-1.1173726657868508,30128,10675,12,175
41,-9.210652356193904,5.6819547133880315,-2.8998085813286427,30167,5602,0,215
42,-17.598828353649974,10.856532398259944,-4.773911275285504,30167,10611,2,215
43,-16.62042797188574,10.2529674773662,-3.7959541540209827,30167,9947,4,215
44,-18.215972034773156,11.237241854245157,-3.389934857421803,30167,10835,6,215
45,-18.19405884220354,11.223723835869121,-2.6248219182600665,30167,10769,8,215
46,-18.215155462830428,11.236738119588873,-1.8724539771906883,30167,10742,10,215
47,-18.230778533176956,11.24637582762085,-1.1226062614111452,30167,10725,12,215
48,-9.2918602825352,5.734290162776615,-2.9256904858388944,30168,5652,0,215
49,-17.66326794712577,10.900540962940065,-4.791907359633012,30168,10651,2,215
50,-18.33446627401254,11.314757906168662,-4.187875830524406,30168,10974,4,215
51,-18.30814842933489,11.298516362144996,-3.4074555175063086,30168,10891,6,215
52,-18.295147114102164,11.290492854281634,-2.6396899781554946,30168,10830,8,215
53,-18.314924747538296,11.302698234626082,-1.882912666320407,30168,10802,10,215
54,-18.349491000372737,11.324030122705064,-1.130037967197643,30168,10796,12,215
55,-9.347562221366921,5.856896640092801,-2.955713495070787,30207,5710,0,255
56,-17.677835276500268,11.07639099725702,-4.81620207350215,30207,10705,2,255
57,-18.340208109213826,11.491413558919248,-4.2069567300620605,30207,11024,4,255
58,-18.32455865426055,11.481608089004794,-3.424976177590815,30207,10947,6,255
59,-18.301980299280952,11.467461182219134,-2.651876912496009,30207,10880,8,255
60,-18.335490380552773,11.488457574408056,-1.8930227324791353,30207,10860,10,255
61,-18.33799290167092,11.490025577613759,-1.1341201717845928,30207,10835,12,255
62,-9.408740998606781,5.8975164608512145,-2.9753837424985785,30208,5748,0,255
63,-18.342979283819094,11.497608689982496,-4.997962525411992,30208,11109,2,255
64,-18.41971271399574,11.545706163133406,-4.225656011608962,30208,11073,4,255
65,-18.416284524084702,11.5435573308471,-3.4424968376753204,30208,11003,6,255
66,-18.390805670516407,11.52758686696199,-2.665038801583765,30208,10934,8,255
67,-18.42633412847049,11.5498565484894,-1.902609864181378,30208,10915,10,255
68,-18.42737101962068,11.550506484822778,-1.1397724550588306,30208,10889,12,255
69,-9.446613044152455,6.011204847283735,-3.0002303708284206,30247,5796,0,39
70,-18.377736028673276,11.694385636558405,-5.029005770911446,30247,11178,2,39
71,-18.431796401486082,11.72878611147777,-4.246645001100381,30247,11128,4,39
72,-18.437278273591694,11.732274415277175,-3.4612689734801485,30247,11063,6,39
73,-18.405701452799633,11.712180997951847,-2.6786881680451415,30247,10990,8,39
74,-18.427974864304534,11.726354335906732,-1.9109768154851532,30247,10963,10,39
75,-18.434259609797007,11.730353535661369,-1.145110722595611,30247,10940,12,39
76,-9.499342836769136,6.047088173868088,-3.017312427805187,30248,5829,0,39
77,-18.457890500801334,11.749917155312424,-5.051500876345832,30248,11228,2,39
78,-18.52746250449772,11.79420527587128,-4.269160462554813,30248,11187,4,39
79,-18.528547950770655,11.794896248861015,-3.478789633564654,30248,11119,6,39
80,-18.50580651787905,11.780419515863935,-2.6935562279405696,30248,11051,8,39
81,-18.521730000443075,11.790556080545755,-1.920912570158386,30248,11020,10,39
82,-18.546781503958325,11.806503357451934,-1.1522284126446514,30248,11008,12,39
83,-9.573164354997603,6.186049857839486,-3.0540647322097447,30287,5900,0,79
84,-18.472416158675156,11.93662650246569,-5.07759519864972,30287,11286,2,79
85,-18.45499803477914,11.925371145422279,-4.271068552508579,30287,11192,4,79
