intensity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,,
85,1,36,1074,652382574,652382574,1,0.006747068837285042,1.073815226554871,0.01874388381838799,,0
88,3,38,1078,652382579,652382579,3,0.007139716297388077,1.076498985290527,0.05641816183924675,,5
73,5,39,1074,652382583,652382583,5,0.007282611448317766,1.069888353347778,0.09360526502132416,,9
96,7,41,1074,652382588,652382588,7,0.007628032006323338,1.065967321395874,0.1308876723051071,,14
78,8,42,1076,652382590,652382590,-7,0.007828629575669765,1.067950963973999,-0.1311314105987549,,16
82,9,42,1108,652382593,652382593,9,0.008021996356546879,1.094329237937927,0.1733293831348419,,19
92,10,43,1076,652382595,652382595,-5,0.008044485002756119,1.071875333786011,-0.09377957880496979,,21
85,11,44,1092,652382597,652382597,11,0.008231803774833679,1.071905255317688,0.2083634287118912,,23
96,12,45,1074,652382600,652382600,-3,0.00842352956533432,1.072494983673096,-0.05620881542563438,,26
72,13,46,1086,652382602,652382602,13,0.008495409041643143,1.058131814002991,0.2442968487739563,,28
79,14,47,1076,652382604,652382604,-1,0.008825035765767097,1.075799942016602,-0.01877878978848457,,30
69,15,47,1116,652382607,652382607,15,0.008842566050589085,1.077937006950378,0.2888420522212982,,33
85,1,56,1074,652382630,652382630,1,0.01049534231424332,1.073785185813904,0.01874388381838799,,56
90,3,58,1078,652382634,652382634,3,0.01089735515415668,1.076467514038086,0.05641816183924675,,60
73,5,59,1.07,652382639,652382639,5,0.01097614131867886,1.065871834754944,0.09325664490461349,,65
96,7,61,1074,652382643,652382643,7,0.01134890597313643,1.065934181213379,0.1308876723051071,,69
78,8,62,1068,652382646,652382646,-7,0.01147050503641367,1.059977173805237,-0.1301564574241638,,72
84,9,63,1.1,652382648,652382648,9,0.01194597966969013,1.086391448974609,0.1720779091119766,,74
89,10,63,1076,652382650,652382650,-5,0.01178597938269377,1.071840643882751,-0.09377957880496979,,76
85,11,64,1092,652382653,652382653,11,0.01197340060025454,1.071869969367981,0.2083634287118912,,79
90,12,65,1072,652382655,652382655,-3,0.01214452646672726,1.070461988449097,-0.0561041459441185,,81
74,13,66,1094,652382657,652382657,13,0.01227871607989073,1.065890073776245,0.2460964471101761,,83
73,14,67,1068,652382660,652382660,-1,0.01248669158667326,1.067764282226563,-0.01863916963338852,,86
69,15,68,1104,652382662,652382662,15,0.0126557806506753,1.066307067871094,0.2857362329959869,,88
