"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
38,1,23,71.624,337130700,337130700,1,0.2874726057052612,71.61251068115234,1.250011205673218
1,5,26,12.182,337130709,337130709,5,0.05506961420178413,12.13551902770996,1.061731219291687
21,6,27,59.14,337130712,337130712,-9,0.2752585113048553,58.41123962402344,-9.251534461975098
57,10,30,16.554,337130721,337130721,-5,0.08634631335735321,16.49078178405762,-1.442776203155518
8,4,45,39.884,337130762,337130762,-11,0.3074897825717926,39.1500129699707,-7.610226154327393
21,6,47,59.328,337130767,337130767,-9,0.4806732833385468,58.59560394287109,-9.280943870544434
4,10,50,16.552,337130776,337130776,-5,0.1438919752836227,16.4883861541748,-1.442601799964905
2,13,53,11.41,337130783,337130783,13,0.1028387099504471,11.11708641052246,2.566691637039185
26,2,64,60.582,337130813,337130813,-13,0.6593497395515442,59.02560424804688,-13.62798500061035
17,4,65,59.004,337130818,337130818,-11,0.6570666432380676,57.91620254516602,-11.25849437713623
21,6,67,59.848,337130822,337130822,-9,0.6912128925323486,59.10713195800781,-9.362289428710938
18,10,70,63.5,337130832,337130832,-5,0.7728275060653687,63.25364303588867,-5.534389495849609
8,0,82,34.452,337130864,337130864,-15,0.4762495756149292,33.2746696472168,-8.916833877563477
35,4,85,59.062,337130873,337130873,-11,0.8600725531578064,57.97048568725586,-11.26956081390381
21,6,87,59.872,337130878,337130878,-9,0.8978909850120544,59.12805938720703,-9.366044044494629
19,10,90,64.304,337130887,337130887,-5,1.006199836730957,64.05139923095703,-5.60446310043335
39,14,94,69.586,337130896,337130896,-1,1.141409397125244,69.5660400390625,-1.214443206787109
8,0,101,34.38,337130919,337130919,-15,0.5853638648986816,33.203369140625,-8.898199081420898
2,1,102,11.372,337130921,337130921,1,0.2024068981409073,11.3684663772583,0.1984687596559525
17,4,104,59.136,337130928,337130928,-11,1.05362331867218,58.03994369506836,-11.28368091583252
21,6,106,59.752,337130933,337130933,-9,1.091769218444824,59.00625610351563,-9.347271919250488
8,0,121,34.252,337130974,337130974,-15,0.6986508369445801,33.0775146484375,-8.865070343017578
36,1,122,70.56400000000001,337130977,337130977,1,1.502178072929382,70.53726196289063,1.23151159286499
22,6,126,60.316,337130988,337130988,-9,1.309982061386108,59.55900573730469,-9.435501098632813
22,10,129,69.248,337130997,337130997,-5,1.553037166595459,68.96700286865234,-6.035360813140869
39,14,133,69.514,337131007,337131007,-1,1.613229393959045,69.48468780517578,-1.213186621665955
17,4,144,59.548,337131039,337131039,-11,1.468953013420105,58.43547439575195,-11.36229419708252
46,14,153,72.714,337131062,337131062,-1,1.941194534301758,72.677001953125,-1.269034266471863
8,0,161,33.952,337131085,337131085,-15,0.9214149117469788,32.78216552734375,-8.787424087524414
7,4,164,38.428,337131094,337131094,-11,1.079583525657654,37.70651626586914,-7.33240795135498
24,6,166,61.048,337131099,337131099,-9,1.74669086933136,60.27109146118164,-9.55001163482666
26,8,168,64.86,337131103,337131103,-7,1.887348413467407,64.34886932373047,-7.904445648193359
23,10,169,70.84400000000001,337131108,337131108,-5,2.081365823745728,70.54371643066406,-6.174461364746094
1,15,174,10.536,337131120,337131120,15,0.3090148866176605,10.17230224609375,2.726917505264282
8,0,181,33.852,337131140,337131140,-15,1.032789468765259,32.68220520019531,-8.761542320251465
25,6,186,61.768,337131154,337131154,-9,1.980147242546082,60.97539138793945,-9.662644386291504
26,8,188,64.732,337131159,337131159,-7,2.107788562774658,64.21491241455078,-7.888846397399902
19,10,189,65.092,337131163,337131163,-5,2.138613224029541,64.80902862548828,-5.673141479492188
8,0,201,33.72,337131196,337131196,-15,1.142393350601196,32.55097961425781,-8.727377891540527
9,2,203,39.242,337131200,337131200,-13,1.354433298110962,38.21223449707031,-8.827528953552246
19,4,204,60.488,337131205,337131205,-11,2.113642692565918,59.33903503417969,-11.54165458679199
1,5,205,10.626,337131207,337131207,5,0.3786627650260925,10.57878971099854,0.926116943359375
26,6,206,62.02,337131209,337131209,-9,2.201925992965698,61.21684265136719,-9.702065467834473
19,10,209,64.652,337131219,337131219,-5,2.348840475082397,64.36313629150391,-5.634793281555176
8,0,221,33.652,337131251,337131251,-15,1.253477692604065,32.48115921020508,-8.709778785705566
27,2,223,61.378,337131256,337131256,-13,2.32706880569458,59.75959396362305,-13.80704593658447
19,4,224,60.76,337131260,337131260,-11,2.331197500228882,59.59809112548828,-11.59355449676514
8,0,241,33.252,337131306,337131306,-15,1.350603580474854,32.09055709838867,-8.606250762939453
27,2,243,61.378,337131311,337131311,-13,2.535654544830322,59.75110626220703,-13.80704593658447
20,4,244,61.04,337131315,337131315,-11,2.550920963287354,59.86419677734375,-11.64698123931885
26,8,248,64.988,337131325,337131325,-7,2.791112422943115,64.44317626953125,-7.920044898986816
19,10,249,64.77200000000001,337131329,337131329,-5,2.803312540054321,64.464599609375,-5.645251750946045
7,0,261,33.108,337131362,337131362,-15,1.456278324127197,31.94669723510742,-8.568981170654297
2,1,262,11.296,337131364,337131364,1,0.5162806510925293,11.28247356414795,0.1971423774957657
4,3,264,27.698,337131368,337131368,3,1.274032235145569,27.63068389892578,1.449601292610168
20,4,264,61.152,337131371,337131371,-11,2.764934539794922,59.96475601196289,-11.6683521270752
1,5,265,9.526,337131373,337131373,5,0.438756138086319,9.479602813720703,0.8302456140518188
26,8,268,64.988,337131380,337131380,-7,3.016043901443481,64.43303680419922,-7.920044898986816
19,10,269,64.252,337131385,337131385,-5,3.00400710105896,63.93696975708008,-5.599930763244629
8,14,273,39.298,337131394,337131394,-1,1.871457457542419,39.24742126464844,-0.6858446598052979
7,0,281,33.052,337131417,337131417,-15,1.56513249874115,31.88739204406738,-8.554487228393555
26,2,283,60.782,337131421,337131421,-13,2.92405891418457,59.15193176269531,-13.67297458648682
4,3,284,27.67,337131424,337131424,3,1.369088172912598,27.59814071655273,1.448135852813721
