intensity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2
46,0,30,32736,360530640,360530640,-15,0.1655640453100204,31.62011528015137,-8.472700119018555
36,2,32,53454,360530645,360530645,-13,0.2908903062343597,52.08316421508789,-12.02453327178955
49,4,33,56298,360530650,360530650,-11,0.3182939887046814,55.26272964477539,-10.74216461181641
19,6,35,55604,360530654,360530654,-9,0.335481584072113,54.91839599609375,-8.698382377624512
36,2,52,53.47,360530700,360530700,-13,0.4728341698646545,52.0974235534668,-12.02813243865967
18,6,55,54688,360530709,360530709,-9,0.5184959173202515,54.01221084594727,-8.555088043212891
6,0,70,30918,360530751,360530751,-15,0.3648545444011688,29.86226654052734,-8.002167701721191
18,2,72,53538,360530756,360530756,-13,0.6555178165435791,52.16170501708984,-12.04342937469482
15,4,73,54286,360530760,360530760,-11,0.6789267063140869,53.28428649902344,-10.35825729370117
17,6,75,53732,360530765,360530765,-9,0.6946709752082825,53.06592178344727,-8.405536651611328
6,0,90,30806,360530806,360530806,-15,0.4673918187618256,29.75263977050781,-7.973179340362549
18,2,92,53634,360530811,360530811,-13,0.8390940427780151,52.25262832641602,-12.06502437591553
30,4,93,53418,360530815,360530815,-11,0.8510898947715759,52.42965316772461,-10.19263458251953
17,6,95,52892,360530820,360530820,-9,0.8661457896232605,52.2336311340332,-8.274131774902344
6,0,110,30666,360530862,360530862,-15,0.5686489939689636,29.61562347412109,-7.936944961547852
54,2,112,53178,360530866,360530866,-13,1.012799978256226,51.80515289306641,-11.96244716644287
29,4,113,52544,360530871,360530871,-11,1.017178893089294,51.56858825683594,-10.0258674621582
16,6,115,51972,360530875,360530875,-9,1.030232906341553,51.32180023193359,-8.13021183013916
6,0,130,30582,360530917,360530917,-15,0.6701825261116028,29.53234100341797,-7.915204048156738
17,2,132,52182,360530921,360530921,-13,1.171271443367004,50.83108520507813,-11.73839569091797
28,4,133,51694,360530926,360530926,-11,1.17781400680542,50.73056411743164,-9.863679885864258
16,6,135,51.18,360530931,360530931,-9,1.190943479537964,50.53585815429688,-8.006316184997559
6,0,150,30.49,360530972,360530972,-15,0.7709393501281738,29.44098663330078,-7.891392707824707
16,2,152,51382,360530977,360530977,-13,1.328021049499512,50.04746627807617,-11.55843544006348
13,3,152,18134,360530979,360530979,3,0.4803613126277924,18.10277557373047,0.9490602016448975
28,4,153,50906,360530981,360530981,-11,1.334236264228821,49.95289611816406,-9.713322639465332
15,6,155,50396,360530986,360530986,-9,1.346393704414368,49.75732803344727,-7.883671283721924
13,0,170,30418,360531027,360531027,-15,0.8716396689414978,29.36859893798828,-7.872757911682129
15,2,172,50582,360531032,360531032,-13,1.47931444644928,49.26338195800781,-11.37847423553467
13,3,173,18146,360531034,360531034,3,0.5470698475837708,18.11287117004395,0.9496882557868958
