"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
83,1,6,1.07,1688669006,1688669006,1,0.001120330533012748,1.069836497306824,0.01867407560348511
83,3,7,1.09,1688669011,1688669011,3,0.0013298608828336,1.088505387306213,0.05704619362950325
70,5,9,1.08,1688669016,1688669016,5,0.001690003788098693,1.075888991355896,0.09412819892168045
86,7,11,1.084,1688669020,1688669020,7,0.002065616892650723,1.075918078422546,0.1321063637733459
76,8,12,1.094,1688669022,1688669022,-7,0.002274187747389078,1.085843086242676,-0.1333250552415848
77,9,12,1.106,1688669025,1688669025,9,0.002287880517542362,1.092380881309509,0.1730165183544159
80,10,13,1.08,1688669027,1688669027,-5,0.002441115444526076,1.075887560844421,-0.09412819892168045
89,11,14,1.092,1688669029,1688669029,11,0.002619233215227723,1.071933627128601,0.2083634287118912
88,12,15,1.076,1688669032,1688669032,-3,0.002813097555190325,1.074521660804749,-0.05631348863244057
77,13,16,1.116,1688669034,1688669034,13,0.00303658121265471,1.087392807006836,0.2510453760623932
74,14,17,1.072,1688669036,1688669036,-1,0.003180198837071657,1.071832060813904,-0.01870897971093655
64,15,17,1.118,1688669039,1688669039,15,0.003204138251021504,1.07990026473999,0.2893596887588501
81,1,26,1.074,1688669062,1688669062,1,0.004872898571193218,1.073825359344482,0.01874388381838799
83,3,28,1.078,1688669066,1688669066,3,0.00526086101308465,1.076509833335876,0.05641816183924675
70,5,29,1.084,1688669071,1688669071,5,0.005465715657919645,1.079861164093018,0.09447682648897171
96,7,31,1.078,1688669075,1688669075,7,0.005789038259536028,1.069949150085449,0.1313751488924026
75,8,32,1.082,1688669078,1688669078,-7,0.005997953005135059,1.073918223381042,-0.1318626254796982
77,9,33,1.106,1688669080,1688669080,9,0.006291641388088465,1.092365145683289,0.1730165183544159
85,10,33,1.076,1688669082,1688669082,-5,0.006173698231577873,1.071887731552124,-0.09377957880496979
80,11,34,1.092,1688669085,1688669085,11,0.006360964383929968,1.07191801071167,0.2083634287118912
83,12,35,1.066,1688669087,1688669087,-3,0.006502858828753233,1.064519166946411,-0.05579013004899025
74,13,36,1.1,1688669089,1688669089,13,0.006734318099915981,1.071785926818848,0.2474461644887924
70,14,37,1.086,1688669092,1688669092,-1,0.007011964917182922,1.085811972618103,-0.01895331405103207
61,15,38,1.118,1688669094,1688669094,15,0.00716214906424284,1.079881310462952,0.2893596887588501
88,1,46,1.074,1688669117,1688669117,1,0.008621218614280224,1.073801875114441,0.01874388381838799
73,3,47,1.068,1688669122,1688669122,3,0.008748750202357769,1.066500425338745,0.05589479953050613
73,5,49,1.076,1688669126,1688669126,5,0.009166945703327656,1.071866273880005,0.09377957880496979
88,7,51,1.072,1688669131,1688669131,7,0.009470813907682896,1.063967347145081,0.1306439340114594
76,8,52,1.07,1688669133,1688669133,-7,0.009638494811952114,1.061980605125427,-0.1304001957178116
