"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
83,1,34,1.07,2016868319,2016868319,1,0.006348503287881613,1.069818139076233,0.01867407560348511
80,3,36,1.078,2016868324,2016868324,3,0.006763946730643511,1.076501369476318,0.05641816183924675
69,5,37,1.084,2016868328,2016868328,5,0.006973480340093374,1.07985258102417,0.09447682648897171
88,7,39,1.072,2016868333,2016868333,7,0.007242426741868258,1.063984870910645,0.1306439340114594
73,8,40,1.082,2016868335,2016868335,-7,0.007497419137507677,1.073908805847168,-0.1318626254796982
77,9,41,1.104,2016868338,2016868338,9,0.007802729029208422,1.090379953384399,0.1727036535739899
90,10,41,1.094,2016868340,2016868340,-5,0.007798643317073584,1.089809060096741,-0.09534838050603867
85,11,42,1.088,2016868342,2016868342,11,0.007828854955732822,1.067981719970703,0.2076001912355423
83,12,43,1.066,2016868345,2016868345,-3,0.007989200763404369,1.064509153366089,-0.05579013004899025
77,13,44,1.104,2016868347,2016868347,13,0.008260737173259258,1.07567286491394,0.2483459711074829
66,14,45,1.066,2016868349,2016868349,-1,0.00837098341435194,1.065804719924927,-0.01860426552593708
61,15,45,1.112,2016868351,2016868351,15,0.008435949683189392,1.074076414108276,0.2878067791461945
83,1,54,1.07,2016868375,2016868375,1,0.01008282694965601,1.069789528846741,0.01867407560348511
78,3,56,1.066,2016868379,2016868379,3,0.01040447317063808,1.064488291740417,0.05579013004899025
73,5,57,1.076,2016868384,2016868384,5,0.01066354382783175,1.071852445602417,0.09377957880496979
88,7,59,1.072,2016868388,2016868388,7,0.01095638237893581,1.063953042030334,0.1306439340114594
71,8,60,1.068,2016868391,2016868391,-7,0.01110050268471241,1.059981226921082,-0.1301564574241638
82,9,61,1.09,2016868393,2016868393,9,0.01146160438656807,1.076519250869751,0.1705135703086853
78,10,61,1.066,2016868395,2016868395,-5,0.01130577735602856,1.061883330345154,-0.09290802478790283
80,11,62,1.086,2016868398,2016868398,11,0.01153551507741213,1.065984725952148,0.2072185724973679
88,12,63,1.064,2016868400,2016868400,-3,0.0116830226033926,1.062477588653564,-0.05568545684218407
77,13,64,1.088,2016868402,2016868402,13,0.01184134744107723,1.060048460960388,0.2447467446327209
68,14,65,1.05,2016868404,2016868404,-1,0.01190980244427919,1.049772500991821,-0.01832502707839012
62,15,66,1.112,2016868407,2016868407,15,0.01237257942557335,1.07403826713562,0.2878067791461945
81,1,74,1.074,2016868430,2016868430,1,0.01386868022382259,1.073746919631958,0.01874388381838799
73,3,76,1.06,2016868434,2016868434,3,0.01404069177806377,1.058454155921936,0.055476114153862
73,5,77,1.064,2016868439,2016868439,5,0.01424429193139076,1.059855461120605,0.0927337110042572
90,7,79,1.076,2016868444,2016868444,7,0.01472494471818209,1.067878127098083,0.1311314105987549
65,8,80,1.068,2016868446,2016868446,-7,0.01480046007782221,1.059935927391052,-0.1301564574241638
77,9,81,1.076,2016868448,2016868448,9,0.01502381078898907,1.062646508216858,0.1683234870433807
78,10,81,1.054,2016868451,2016868451,-5,0.01484337821602821,1.04988431930542,-0.09186214953660965
85,11,82,1.088,2016868453,2016868453,11,0.0152845224365592,1.067901015281677,0.2076001912355423
78,12,83,1.064,2016868455,2016868455,-3,0.0153916897252202,1.062430381774902,-0.05568545684218407
70,13,84,1.084,2016868457,2016868457,13,0.01548439729958773,1.056103587150574,0.2438469380140305
63,14,85,1.042,2016868460,2016868460,-1,0.01545546017587185,1.04172670841217,-0.01818540692329407
61,15,85,1.1,2016868462,2016868462,15,0.0157622005790472,1.062401533126831,0.2847009599208832
83,1,94,1.058,2016868485,2016868485,1,0.01735422573983669,1.057696461677551,0.01846464537084103
80,3,96,1.074,2016868490,2016868490,3,0.01796954125165939,1.072377562522888,0.05620881542563438
75,5,97,1.05,2016868494,2016868494,5,0.01770768873393536,1.045854568481445,0.09151352941989899
90,7,99,1.068,2016868499,2016868499,7,0.01831525191664696,1.059881091117859,0.1301564574241638
65,8,100,1.07,2016868501,2016868501,-7,0.01853488199412823,1.061862587928772,-0.1304001957178116
77,9,101,1.072,2016868504,2016868504,9,0.01866340823471546,1.058637380599976,0.1676977425813675
90,10,101,1.062,2016868506,2016868506,-5,0.01864854618906975,1.057794451713562,-0.09255939722061157
76,11,102,1.068,2016868508,2016868508,11,0.01866261288523674,1.048211693763733,0.2037840038537979
83,12,103,1.062,2016868510,2016868510,-3,0.01906426809728146,1.060373187065125,-0.05558078736066818
71,13,104,1.084,2016868513,2016868513,13,0.01917079277336597,1.056043148040771,0.2438469380140305
64,14,105,1.046,2016868515,2016868515,-1,0.01916495896875858,1.04566502571106,-0.01825521700084209
62,15,105,1.092,2016868517,2016868517,15,0.01932897232472897,1.054613828659058,0.2826303839683533
85,1,112,1.046,2016868540,2016868540,1,0.02044246532022953,1.045640826225281,0.01825521700084209
75,3,113,1.066,2016868545,2016868545,3,0.02099371328949928,1.064332008361816,0.05579013004899025
78,5,115,1.044,2016868550,2016868550,5,0.02087328396737576,1.039817810058594,0.09099059551954269
90,7,117,1.056,2016868554,2016868554,7,0.02140166983008385,1.047910213470459,0.1286940276622772
56,8,118,1.06,2016868556,2016868556,-7,0.02166632562875748,1.051875829696655,-0.1291815042495728
79,9,118,1.082,2016868559,2016868559,9,0.02200776152312756,1.068452119827271,0.16926209628582
78,10,119,1.046,2016868561,2016868561,-5,0.02164058573544025,1.041794896125793,-0.09116490930318832
82,11,120,1.058,2016868563,2016868563,11,0.02174999192357063,1.038333773612976,0.2018759101629257
85,12,121,1.05,2016868566,2016868566,-3,0.02214237302541733,1.048327207565308,-0.05495275557041168
71,13,122,1.084,2016868568,2016868568,13,0.02248835004866123,1.055977702140808,0.2438469380140305
64,14,123,1.038,2016868570,2016868570,-1,0.02227821201086044,1.037602782249451,-0.01811559870839119
64,15,123,1.088,2016868573,2016868573,15,0.02255910076200962,1.050685167312622,0.2815951108932495
85,1,132,1.046,2016868596,2016868596,1,0.02409230917692184,1.045563101768494,0.01825521700084209
75,3,134,1.038,2016868600,2016868600,3,0.0242406539618969,1.036293983459473,0.05432472378015518
