intensity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2
4,11,9071,37.49,360555770,360555770,11,36.79837799072266,-0.4560228586196899,7.15342903137207
4,15,10760,28622,360560479,360560479,15,26.35260391235352,-8.359538078308105,7.407918930053711
4,15,10780,28438,360560534,360560534,15,26.1540412902832,-8.397144317626953,7.36029577255249
4,15,10800,28.27,360560590,360560590,15,25.97023773193359,-8.438241958618164,7.316814422607422
4,15,10818,28022,360560645,360560645,15,25.71600723266602,-8.445047378540039,7.252627372741699
3,15,11018,26.49,360561198,360561198,15,24.01665496826172,-8.826891899108887,6.85611629486084
5,15,14316,32562,360570377,360570377,15,18.85835456848145,-25.17182540893555,8.427665710449219
4,13,14393,32314,360570594,360570594,13,18.53799247741699,-25.44991302490234,7.269068241119385
10,15,14734,31032,360571538,360571538,15,16.17587852478027,-25.23525619506836,8.031672477722168
4,13,14752,31014,360571589,360571589,13,16.22781944274902,-25.49220848083496,6.976632118225098
5,15,14794,32278,360571704,360571704,15,16.54958343505859,-26.42325782775879,8.354161262512207
4,13,14813,32.65,360571755,360571755,13,16.79716110229492,-27.01729011535645,7.344651699066162
5,15,14853,32.79,360571870,360571870,15,16.5348014831543,-27.01408386230469,8.486676216125488
5,13,14892,33.23,360571976,360571976,13,16.71480178833008,-27.73032379150391,7.475123405456543
5,13,14912,33474,360572031,360572031,13,16.73992347717285,-27.99254417419434,7.530011653900146
6,13,15031,35.61,360572363,360572363,13,17.18582725524902,-30.14218330383301,8.010506629943848
9,13,15368,43638,360573303,360573303,13,18.85249710083008,-38.11162948608398,9.816413879394531
9,13,15387,44.05,360573358,360573358,13,18.90280914306641,-38.53435134887695,9.909093856811523
6,13,15884,37266,360574741,360574741,13,13.10726737976074,-33.86265182495117,8.383026123046875
4,11,15962,36822,360574957,360574957,11,12.58747577667236,-33.88290023803711,7.0259690284729
4,11,15981,36474,360575013,360575013,11,12.35714721679688,-33.60383987426758,6.959567070007324
4,11,16020,39174,360575123,360575123,11,13.02591705322266,-36.18087768554688,7.474751472473145
4,11,16040,39222,360575178,360575178,11,12.91534900665283,-36.27051162719727,7.48391056060791
4,11,16060,39346,360575234,360575234,11,12.82909393310547,-36.4301872253418,7.507570743560791
4,11,16080,39402,360575289,360575289,11,12.71992874145508,-36.52666091918945,7.518256187438965
4,11,16099,39674,360575344,360575344,11,12.68570327758789,-36.82107925415039,7.570156097412109
4,11,16119,39906,360575400,360575400,11,12.63052654266357,-37.08071136474609,7.614423751831055
4,11,16139,39726,360575455,360575455,11,12.4446268081665,-36.95711898803711,7.580078125
4,11,16180,39374,360575565,360575565,11,12.07192802429199,-36.71697998046875,7.512913227081299
4,11,17034,36.35,360577943,360577943,11,5.987506866455078,-35.17620468139648,6.935906887054443
4,11,17452,39.99,360579105,360579105,11,3.7488112449646,-39.07585906982422,7.630451679229736
9,11,17472,39.67,360579160,360579160,11,3.583481788635254,-38.77591705322266,7.569392681121826
4,11,17510,38802,360579271,360579271,11,3.253453493118286,-37.94989395141602,7.403770446777344
4,11,17531,37774,360579326,360579326,11,3.031828641891479,-36.95582962036133,7.207619190216064
4,11,17551,36658,360579382,360579382,11,2.817049264907837,-35.87405395507813,6.994676113128662
4,11,17670,39346,360579713,360579713,11,2.223301410675049,-38.55905914306641,7.507570743560791
4,11,17790,39074,360580045,360580045,11,1.405509829521179,-38.33034133911133,7.455670833587646
4,11,17889,39074,360580322,360580322,11,0.7430322170257568,-38.34890365600586,7.455670833587646
4,11,17909,38874,360580377,360580377,11,0.6060469746589661,-38.15496063232422,7.417509078979492
4,11,17929,38874,360580432,360580432,11,0.4728576242923737,-38.15684509277344,7.417509078979492
4,11,17949,38.85,360580487,360580487,11,0.3394528031349182,-38.13470458984375,7.412929534912109
9,11,17967,38728,360580543,360580543,11,0.2189578711986542,-38.01582717895508,7.389650821685791
8,11,17987,38.39,360580598,360580598,11,0.08550372719764709,-37.6845703125,7.325157165527344
4,11,18008,37.91,360580653,360580653,11,-0.0519598126411438,-37.21345138549805,7.233569145202637
4,11,18028,37498,360580709,360580709,11,-0.1798822730779648,-36.80861663818359,7.154955863952637
4,11,18048,37314,360580764,360580764,11,-0.3068540990352631,-36.62715148925781,7.119846820831299
4,11,18068,37354,360580819,360580819,11,-0.4351708292961121,-36.66511917114258,7.127479076385498
4,11,18088,37454,360580874,360580874,11,-0.5646609663963318,-36.76152801513672,7.146560192108154
4,11,18108,37526,360580930,360580930,11,-0.6943113207817078,-36.82999801635742,7.160298347473145
4,11,18128,37554,360580985,360580985,11,-0.8234817981719971,-36.85482788085938,7.165640830993652
4,11,18148,37606,360581040,360581040,11,-0.9534425139427185,-36.90275573730469,7.175562858581543
4,11,18168,37674,360581096,360581096,11,-1.084208250045776,-36.96592712402344,7.188538074493408
4,11,18188,37714,360581151,360581151,11,-1.214524984359741,-37.00115966796875,7.196170330047607
4,11,18208,37758,360581206,360581206,11,-1.345243334770203,-37.03985977172852,7.20456600189209
4,11,18228,37826,360581262,360581262,11,-1.477183938026428,-37.10163497924805,7.217541217803955
4,11,18247,37826,360581317,360581317,11,-1.60020923614502,-37.09653091430664,7.217541217803955
4,11,18267,37946,360581372,360581372,11,-1.735177874565125,-37.20838928222656,7.240437984466553
8,11,18287,37996,360581427,360581427,11,-1.867506384849548,-37.25112533569336,7.249978542327881
8,11,18327,38.05,360581538,360581538,11,-2.130544185638428,-37.29010009765625,7.260282039642334
7,13,18369,39854,360581653,360581653,13,-2.499190330505371,-38.75204086303711,8.96519947052002
7,15,18510,38614,360582045,360582045,15,-3.315602540969849,-37.15059661865234,9.994038581848145
7,15,18667,38438,360582487,360582487,15,-4.312472820281982,-36.87695693969727,9.948486328125
5,15,19106,30302,360583704,360583704,15,-5.614965438842773,-28.72585678100586,7.842734813690186
3,15,19284,26186,360584201,360584201,15,-5.621006965637207,-24.6612491607666,6.777435302734375
8,15,19762,27472,360585528,360585528,15,-8.032489776611328,-25.29098320007324,7.110276699066162
10,11,20515,52062,360587620,360587620,11,-21.71929168701172,-46.26058578491211,9.933897972106934
10,11,20614,51.93,360587897,360587897,11,-22.45824813842773,-45.7620964050293,9.908711433410645
